	text	label
584	adroit but finally a trifle flat , mad love doesn't galvanize its outrage the way , say , jane campion might have done , but at least it possesses some . 	1
3645	in the end , all you can do is admire the ensemble players and wonder what the point of it is . 	1
2336	goes on and on to the point of nausea . 	1
1528	some body smacks of exhibitionism more than it does cathartic truth telling . 	1
1219	a haunting film about one of the great escapes of all time . 	1
1864	ki-duk kim has created a provocatively violent and sexual film with an oddly idyllic sensibility . it's a mysterious but ultimately rewarding experience . 	1
2915	what elevates the movie above the run-of-the-mill singles blender is its surreal sense of humor and technological finish . 	1
885	'you'll laugh for not quite and hour and a half , but come out feeling strangely unsatisfied . you'll feel like you ate a reeses without the peanut butter . . . '	1
4421	'blue crush' swims away with the sleeper movie of the summer award . 	1
4306	 . . . a hollow joke told by a cinematic gymnast having too much fun embellishing the misanthropic tale to actually engage it . 	1
4987	director ferzan ozpetek creates an interesting dynamic with the members of this group , who live in the same apartment building . but he loses his focus when he concentrates on any single person . 	1
4465	an utterly compelling 'who wrote it' in which the reputation of the most famous author who ever lived comes into question . 	1
3663	it's a hoot watching the rock chomp on jumbo ants , pull an arrow out of his back , and leap unscathed through raging fire ! 	1
4847	the behind the scenes series is more interesting than the resulting movie , but it's still worth taking a look . 	1
3905	laced with liberal doses of dark humor , gorgeous exterior photography , and a stable-full of solid performances , no such thing is a fascinating little tale . 	1
1187	the art direction and costumes are gorgeous and finely detailed , and kurys' direction is clever and insightful . 	1
3864	the sort of movie that gives tastelessness a bad rap . 	1
2040	part travelogue , part road picture , part meditation on class , mortality and intimacy , this extraordinary little movie might be the perfect harbinger of summer , as astute as it is steamy . 	1
3807	every sequel you skip will be two hours gained . consider this review life-affirming . 	1
976	if you're willing to have fun with it , you won't feel cheated by the high infidelity of unfaithful . 	1
3384	this story of unrequited love doesn't sustain interest beyond the first half-hour . 	1
3335	its plot and animation offer daytime tv serviceability , but little more . 	1
1080	there's not a comedic moment in this romantic comedy . 	1
2123	turns out to be much more complex than the originally released gem . 	1
3229	scores by marshaling facts that speak for themselves . and they don't speak kindly . 	1
8532	he is a cop , and chances are he's going to make some trouble for vince too . 	0
7761	a series of mysterious and bizarre death threats soon ushers in symptoms of paranoia , unwelcome fame , and eventually a severe case of writer's block . 	0
5180	a banker , husband , and father , mr . smith ( larry pine ) must leave it behind him . 	0
9991	besides the fact that he is still disliked by professor snape ( alan rickman ) and hated by draco malfoy ( tom felton ) , harry gets off to a great start with his two best friends , ron weasly ( rupert grint ) and hermione granger ( emma watson ) , and famous writer gilderoy lockhart ( kenneth branagh ) has joined the hogwarts staff and is the new defense against the dark arts teacher . 	0
8332	interviews in movie houses , on the street and in the homes of the subjects tell the story of each individual . 	0
6831	jenny must fight to earn her scholarship and try to find a balance between the man of her faith and the man of her dreams . 	0
8797	this night will expose all of the hidden nuances that each of the friends carry , forever changing their lives and how they view one another . 	0
5968	serious and conservative , jamie ( moore ) was as far from cool as she could possibly be , and didn't care . 	0
6485	is the history of two workers of the trains , a professor and a little child that decide to sequester an old train that has been sold to usa for a movie production . 	0
7318	an observation and reflection on contemporary life in the uk from a director with unique eclectic vision , a poetical attempt at defining what it is to live in this country . 	0
9866	a shy aristocratic english woman falls in love with a dashing younger artist and then rejects him fearing what society may think . 	0
9640	however after roxie has undergone the 'casting couch' treatment , and fred has had his wicked way with her , he reveals that he has no more connections in showbusiness than she does . 	0
6990	primarily , the audience is wealthy , bored executives . 	0
5952	a young man ( keanu reeves ) plays a doctor caring for a man ( nicholson ) , who suffers a heart attack at the house of his young girlfriend's mother ( keaton ) . 	0
9092	all while jolynn is persued by a masculine , toothpick chewing sheriff . 	0
7789	with the police chasing him , pqd decides to go to s&#227 ; o paulo to see cac&#225 ; and prove his innocence . 	0
8220	sharing the clink with velma , are a collection of other sly females , all awaiting trial for the murders of their own partners . 	0
5516	oliver , an emotional gigolo who doesn't belive he deserves to love , arrives in copenhagen to surprise a summer flirt but ends up meeting lulu . 	0
6211	their calendar became a worldwide sensation , out-selling even of britney spears and cindy crawford . 	0
9728	the project of pre-crime , at the time being in a state of trial run , is going to be voted about in the near future . 	0
8861	a corrupt cop is more interested in the money on the criminals he catches than justice ; a young woman discovers she's pregnant , and her boyfriend is unfeeling ; and a young man calls a prostitute it's the first time for both , and neither can go through with it . 	0
7032	"when an older woman , mutt , an eccentric hustler with a heart , and her dog fort pass by , janey "" s solitude is forever changed . "	0
6627	subconscious art : a product of artistic merit that was created without conscious artistic intentions . 	0
7650	but freddy's plans don't go according to schedule when jason discovers that he has been manipulated , which really sends him over the egde . 	0
6902	in the 1880's , chon wang ( jackie chan ) 's father and keeper of the imperial seal has been murdered by parliament and royal family member rathbone ( aidan gillen ) , ( who steals the imperial seal ) with chon wang's sister , chon lin ( fann wong ) witnessing the murder . 	0
